2024-12-27 07:17:32.870278 |INFO | [typepulse-progress] Find callee as a function: "core::slice::raw::from_raw_parts" / DefId(1:10842 ~ core[6c80]::slice::raw::from_raw_parts)
2024-12-27 07:17:32.870455 |INFO | [typepulse-progress] Find callee as a method: "core::slice::<impl [T]>::as_ptr" / DefId(1:11030 ~ core[6c80]::slice::{impl#0}::as_ptr)
2024-12-27 07:17:32.870477 |INFO | [typepulse-progress] Find callee as a method: "core::slice::<impl [T]>::len" / DefId(1:10980 ~ core[6c80]::slice::{impl#0}::len)
2024-12-27 07:17:32.870494 |INFO | [typepulse-progress] Find callee as a function: "core::slice::raw::from_raw_parts_mut" / DefId(1:10845 ~ core[6c80]::slice::raw::from_raw_parts_mut)
2024-12-27 07:17:32.870680 |INFO | [typepulse-progress] Find callee as a method: "core::slice::<impl [T]>::as_ptr" / DefId(1:11030 ~ core[6c80]::slice::{impl#0}::as_ptr)
2024-12-27 07:17:32.870703 |INFO | [typepulse-progress] Find callee as a method: "core::slice::<impl [T]>::len" / DefId(1:10980 ~ core[6c80]::slice::{impl#0}::len)
2024-12-27 07:17:32.870717 |INFO | [typepulse-progress] Find callee as a function: "core::slice::raw::from_raw_parts" / DefId(1:10842 ~ core[6c80]::slice::raw::from_raw_parts)
2024-12-27 07:17:32.870925 |INFO | [typepulse-progress] Find callee as a method: "core::slice::<impl [T]>::as_ptr" / DefId(1:11030 ~ core[6c80]::slice::{impl#0}::as_ptr)
2024-12-27 07:17:32.870948 |INFO | [typepulse-progress] Find callee as a method: "core::slice::<impl [T]>::len" / DefId(1:10980 ~ core[6c80]::slice::{impl#0}::len)
2024-12-27 07:17:32.870962 |INFO | [typepulse-progress] Find callee as a function: "core::slice::raw::from_raw_parts_mut" / DefId(1:10845 ~ core[6c80]::slice::raw::from_raw_parts_mut)
2024-12-27 07:17:32.871169 |INFO | [typepulse-progress] Find callee as a method: "rgb::internal::pixel::ComponentMap::map" / DefId(0:563 ~ rgb[b528]::internal::rgba::{impl#14}::map)
2024-12-27 07:17:32.871330 |INFO | [typepulse-progress] Find callee as a method: "rgb::internal::pixel::ComponentMap::map" / DefId(0:509 ~ rgb[b528]::internal::rgb::{impl#10}::map)
2024-12-27 07:17:32.871799 |INFO | [typepulse-progress] Find callee as a method: "core::ops::arith::Add::add" / DefId(1:2753 ~ core[6c80]::ops::arith::Add::add)
2024-12-27 07:17:32.871824 |INFO | [typepulse-progress] Find callee as a method: "core::ops::arith::Add::add" / DefId(1:2753 ~ core[6c80]::ops::arith::Add::add)
2024-12-27 07:17:32.871839 |INFO | [typepulse-progress] Find callee as a method: "core::ops::arith::Add::add" / DefId(1:2753 ~ core[6c80]::ops::arith::Add::add)
2024-12-27 07:17:32.871857 |INFO | [typepulse-progress] Find callee as a method: "core::ops::arith::Add::add" / DefId(1:2753 ~ core[6c80]::ops::arith::Add::add)
2024-12-27 07:17:32.872042 |INFO | [typepulse-progress] Find callee as a method: "rgb::internal::pixel::ComponentMap::map" / DefId(0:268 ~ rgb[b528]::internal::pixel::ComponentMap::map)
2024-12-27 07:17:32.872339 |INFO | [typepulse-progress] Find callee as a method: "core::ops::function::FnMut::call_mut" / DefId(1:2928 ~ core[6c80]::ops::function::FnMut::call_mut)
2024-12-27 07:17:32.872362 |INFO | [typepulse-progress] Find callee as a method: "core::ops::function::FnMut::call_mut" / DefId(1:2928 ~ core[6c80]::ops::function::FnMut::call_mut)
2024-12-27 07:17:32.872376 |INFO | [typepulse-progress] Find callee as a method: "core::ops::function::FnMut::call_mut" / DefId(1:2928 ~ core[6c80]::ops::function::FnMut::call_mut)
2024-12-27 07:17:32.872570 |INFO | [typepulse-progress] Find callee as a method: "rgb::internal::pixel::ComponentMap::map" / DefId(0:563 ~ rgb[b528]::internal::rgba::{impl#14}::map)
2024-12-27 07:17:32.873101 |INFO | [typepulse-progress] Find callee as a function: "core::fmt::rt::Argument::new_display" / DefId(1:9057 ~ core[6c80]::fmt::rt::{impl#1}::new_display)
2024-12-27 07:17:32.873126 |INFO | [typepulse-progress] Find callee as a function: "core::fmt::rt::Argument::new_display" / DefId(1:9057 ~ core[6c80]::fmt::rt::{impl#1}::new_display)
2024-12-27 07:17:32.873141 |INFO | [typepulse-progress] Find callee as a function: "core::fmt::rt::Argument::new_display" / DefId(1:9057 ~ core[6c80]::fmt::rt::{impl#1}::new_display)
2024-12-27 07:17:32.873158 |INFO | [typepulse-progress] Find callee as a function: "core::fmt::Arguments::new_v1" / DefId(1:9128 ~ core[6c80]::fmt::{impl#2}::new_v1)
2024-12-27 07:17:32.873201 |INFO | [typepulse-progress] Find callee as a method: "core::fmt::Formatter::write_fmt" / DefId(1:9185 ~ core[6c80]::fmt::{impl#7}::write_fmt)
2024-12-27 07:17:32.873635 |INFO | [typepulse-progress] Find callee as a function: "core::fmt::rt::Argument::new_lower_hex" / DefId(1:9066 ~ core[6c80]::fmt::rt::{impl#1}::new_lower_hex)
2024-12-27 07:17:32.873660 |INFO | [typepulse-progress] Find callee as a function: "core::fmt::rt::Argument::new_lower_hex" / DefId(1:9066 ~ core[6c80]::fmt::rt::{impl#1}::new_lower_hex)
2024-12-27 07:17:32.873675 |INFO | [typepulse-progress] Find callee as a function: "core::fmt::rt::Argument::new_lower_hex" / DefId(1:9066 ~ core[6c80]::fmt::rt::{impl#1}::new_lower_hex)
2024-12-27 07:17:32.873690 |INFO | [typepulse-progress] Find callee as a function: "core::fmt::rt::Count::Is" / DefId(1:42391 ~ core[6c80]::fmt::rt::Count::Is::{constructor#0})
2024-12-27 07:17:32.873707 |INFO | [typepulse-progress] Find callee as a function: "core::fmt::rt::Placeholder::new" / DefId(1:9051 ~ core[6c80]::fmt::rt::{impl#0}::new)
2024-12-27 07:17:32.873721 |INFO | [typepulse-progress] Find callee as a function: "core::fmt::rt::Count::Is" / DefId(1:42391 ~ core[6c80]::fmt::rt::Count::Is::{constructor#0})
2024-12-27 07:17:32.873735 |INFO | [typepulse-progress] Find callee as a function: "core::fmt::rt::Placeholder::new" / DefId(1:9051 ~ core[6c80]::fmt::rt::{impl#0}::new)
2024-12-27 07:17:32.873749 |INFO | [typepulse-progress] Find callee as a function: "core::fmt::rt::Count::Is" / DefId(1:42391 ~ core[6c80]::fmt::rt::Count::Is::{constructor#0})
2024-12-27 07:17:32.873763 |INFO | [typepulse-progress] Find callee as a function: "core::fmt::rt::Placeholder::new" / DefId(1:9051 ~ core[6c80]::fmt::rt::{impl#0}::new)
2024-12-27 07:17:32.873779 |INFO | [typepulse-progress] Find callee as a function: "core::fmt::rt::UnsafeArg::new" / DefId(1:9092 ~ core[6c80]::fmt::rt::{impl#2}::new)
2024-12-27 07:17:32.873793 |INFO | [typepulse-progress] Find callee as a function: "core::fmt::Arguments::new_v1_formatted" / DefId(1:9129 ~ core[6c80]::fmt::{impl#2}::new_v1_formatted)
2024-12-27 07:17:32.873808 |INFO | [typepulse-progress] Find callee as a method: "core::fmt::Formatter::write_fmt" / DefId(1:9185 ~ core[6c80]::fmt::{impl#7}::write_fmt)
2024-12-27 07:17:32.874225 |INFO | [typepulse-progress] Find callee as a method: "core::ops::arith::Sub::sub" / DefId(1:2758 ~ core[6c80]::ops::arith::Sub::sub)
